A'damse code[1];CBS-code;Provincie;Gemeente;Alternatieve namen;Burgemeesters;Bestaan vanaf;Ontstaan uit;Bestaan tot;Opgegaan in;Opmerkingen
10379;1041;Noord-Brabant;Deurne en Liessel;"Deurne c.a.; Deurne en Liesel";Lijst;;;01-01-1926;Deurne;
10209;1042;Noord-Brabant;Deursen en Dennenburg;"Deursen c.a.; Deurzen en Dennenburg";Lijst;;;01-05-1923;Ravenstein;
10153;0218;Gelderland;Didam;Diedam;Lijst;;;01-01-2005;Montferland;
11138;1043;Noord-Brabant;Dieden, Demen en Langel;Dieden c.a.;Lijst;;;01-05-1923;Ravenstein;
10311;0151;Overijssel;Diepenheim;;Lijst;;;01-01-2001;Hof van Twente;
10933;0152;Overijssel;Diepenveen;;Lijst;;;01-01-1999;Deventer;
11355;;Gelderland;Dieren;;Lijst;01-01-1812;Rheden (deels);01-01-1818;Rheden;
11185;0763;Noord-Brabant;Diessen;Diesen;Lijst;;;01-01-1997;Hilvarenbeek;
10418;0111;Drenthe;Diever;;Lijst;;;01-01-1998;Westerveld;
11193;0764;Noord-Brabant;Dinteloord en Prinsenland;"Dinteloord; Dinteloord c.a.; Dinteloord en Prinseland; Dinteloord en Prinsland";Lijst;;;01-01-1997;Steenbergen;
10690;1044 (765);Noord-Brabant;Dinther;Dinter;Lijst;;;01-01-1969;Heeswijk-Dinther;
11154;0219;Gelderland;Dinxperlo;"Dingspeloo; Dingsperloo; Dinksperloo";Lijst;;;01-01-2005;Aalten;
11344;0504;Zuid-Holland;Dirksland;;Lijst;;;01-01-2013;Goeree-Overflakkee;
10647;0220;Gelderland;Dodewaard;Doodewaard;Lijst;01-01-1818;Hien en Dodewaard (naamswijziging);01-01-2002;Kesteren;
10198;0066;Friesland;Dokkum;Dockum;Lijst;;;01-01-1984;Dongeradeel;
10236;0660;Zeeland;Domburg;"Domburg Binnen en Buiten; Domburg, binnen en buiten";Lijst;01-01-1816;"Domburg-Binnen; Domburg-Buiten";01-01-1997;Veere;
10236;;Zeeland;Domburg-Binnen;;Lijst;;;01-01-1816;Domburg;
10178;;Zeeland;Domburg-Buiten;;Lijst;;;01-01-1816;Domburg;
10424;1045;Noord-Brabant;Dommelen;;Lijst;;;01-05-1934;Valkenswaard;
10198;0058;Friesland;Dongeradeel;;Lijst;01-01-1984;"Dokkum; Oostdongeradeel; Westdongeradeel";01-01-2019;Noardeast-Fryslân;
10086;0067;Friesland;Doniawerstal;;Lijst;01-10-1816;Langweer (naamswijziging);01-01-1984;Scharsterland;
10213;0315;Utrecht;Doorn;;Lijst;;;01-01-2006;Utrechtse Heuvelrug;
10069;0223;Gelderland;Doornspijk;;Lijst;;;01-01-1974;Elburg;
11304;1046;Gelderland;Doorwerth;"Doornwerd; Dorenweerd; Dorenwerd";Lijst;01-01-1818;Oosterbeek;01-05-1923;Renkum;
10061;1313;Gelderland;Dorth;Kring van Dorth;Lijst;01-01-1818;Gorssel;01-07-1831;Gorssel;
10405;;Friesland;Drachten;;Lijst;01-01-1812;;01-10-1816;Smallingerland;
10885;1047;Zeeland;Dreischor;Drijschor;Lijst;;;01-01-1961;Brouwershaven;
11232;0224;Gelderland;Dreumel;;Lijst;;;01-01-1984;Wamel;
10777;1048;Utrecht;Driebergen;;Lijst;;;01-05-1931;Driebergen-Rijsenburg;
10777;0316;Utrecht;Driebergen-Rijsenburg;;Lijst;01-05-1931;"Driebergen; Rijsenburg";01-01-2006;Utrechtse Heuvelrug;
10830;0506;Zuid-Holland;Driebruggen;;Lijst;01-02-1964;"Hekendorp; Lange Ruige Weide; Papekop; Waarder";01-01-1989;Reeuwijk;
10341;1248;Gelderland;Driel;;Lijst;;;01-08-1944;Maasdriel (naamswijziging);
11115;0661;Zeeland;Driewegen;"Driewege en Coudorpe; Driewegen en Coudorpe";Lijst;;;01-01-1970;Borsele;
10111;1049;Noord-Brabant;Drongelen;;Lijst;01-08-1908;Drongelen, Haagoort, Gansoijen en Doeveren (naamswijziging);01-05-1923;Eethen;
10111;1263;Noord-Brabant[2];Drongelen, Haagoort, Gansoijen en Doeveren;"Drongelen c.a.; Drongelen, Doeveren, Gansoijen en Hagoort;";Lijst;;;01-08-1908;Drongelen (naamswijziging);Viel van 19-09-1814 tot 10-02-1815 onder Zuid-Holland
11315;;Friesland;Dronrijp;;Lijst;01-01-1812;;01-10-1816;Menaldumadeel;
10428;0767;Noord-Brabant;Drunen;Drunen, Elshout en Hulten;Lijst;;;01-01-1997;Heusden;
10781;0507;Zuid-Holland;Dubbeldam;;Lijst;;;01-07-1970;Dordrecht;
10070;1314;Utrecht;Duist;"Duijst; Duist, de Haar en Zevenhuizen; Duits";Lijst;01-01-1818;Bunschoten;08-09-1857;Hoogland;
11237;0662;Zeeland;Duiveland;;Lijst;01-01-1961;"Nieuwerkerk (Duiveland); Oosterland; Ouwerkerk";01-01-1997;Schouwen-Duiveland;
10335;1050;Zeeland;Duivendijke;"Duivendijke c.a.; Duivendijke, Klaaskinderenkerke, Brijdorpe en Looperskapelle; Duivendijke, Klaaskinderenkerke, Brijdorpe en Loopers Cappelle";Lijst;;;01-01-1961;Middenschouwen;
11005;1051;Noord-Brabant;Duizel en Steensel;"Duizel c.a.; Duizel en Steenzel";Lijst;;;01-01-1923;Eersel;
10491;0768;Noord-Brabant;Dungen, Den Den Dungen;Dungen;Lijst;;;01-01-1996;Sint-Michielsgestel;
10947;;Noord-Holland;Durgerdam;;Lijst;01-05-1817;Ransdorp;01-01-1818;Ransdorp;
10261;0769;Noord-Brabant;Dussen;Dussen c.a.;Lijst;01-08-1908;Dussen, Munster en Muilkerk (naamswijziging);01-01-1997;Werkendam;
10261;1265;Noord-Brabant[2];Dussen, Munster en Muilkerk;Dussen c.a.;Lijst;;;01-08-1908;Dussen (naamswijziging);Viel van 19-09-1814 tot 10-02-1815 onder Zuid-Holland
10331;0112;Drenthe;Dwingeloo;Dwingelo;Lijst;;;01-01-1998;Westerveld;
10941;0902;Limburg;Echt;;Lijst;;;01-01-2003;Echt-Susteren;
10832;0227;Gelderland;Echteld;;Lijst;01-01-1818;Ochten (naamswijziging);01-01-2002;Kesteren;
10884;1315;Noord-Holland;Edam;Edam en Vollendam;Lijst;;;01-01-1975;Edam-Volendam (naamswijziging);
11156;;Friesland;Ee;;Lijst;01-01-1812;;01-10-1816;Oostdongeradeel;
11128;1052;Zeeland[2];Eede;Ede (Zeeland);Lijst;;;01-04-1941;Aardenburg;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10622;0113;Drenthe;Eelde;;Lijst;;;01-01-1998;Zuidlaren;
10246;1651;Groningen;Eemsmond;;Lijst;01-01-1992;Hefshuizen (naamswijziging);01-01-2019;Het Hogeland;
10904;0011;Groningen;Eenrum;;Lijst;;;01-01-1990;Ulrum;
10010;0771;Noord-Brabant;Eethen;"Eeten; Eten";Lijst;01-05-1923;"Drongelen; Genderen; Meeuwen";01-01-1973;Aalburg;
10010;;Noord-Brabant[2];Eethen, Genderen en Heesbeen;;Lijst;;;08-05-1819;Heesbeen, Eethen en Genderen (naamswijziging);Viel van 19-09-1814 tot 10-02-1815 onder Zuid-Holland
10421;0357;Noord-Holland;Egmond;;Lijst;01-07-1978;"Egmond aan Zee; Egmond-Binnen";01-01-2001;Bergen (Noord-Holland);
10421;0386;Noord-Holland;Egmond aan Zee;Egmond-aan-Zee;Lijst;;;01-07-1978;Egmond;
10989;0387;Noord-Holland;Egmond-Binnen;"Egmond aan den Hoef; Egmond-Binnen en Op de Hoef en Rinnegom";Lijst;;;01-07-1978;Egmond;
10436;0229;Gelderland;Eibergen;;Lijst;;;01-01-2005;Berkelland;
10960;0904;Limburg;Eijgelshoven;"Eigelshoven; Eygelshoven";Lijst;;;01-01-1982;Kerkrade;
10314;0905;Limburg;Eijsden;"Eijsden (regter oever); Eisden; Eysden";Lijst;;;01-01-2011;Eijsden-Margraten;
11082;;Gelderland;Elden;;Lijst;17-12-1813;Huissen;01-01-1818;Elst;
10184;1053;Zeeland;Elkerzee;Elkersee;Lijst;;;01-01-1961;Middenschouwen;
10102;1054;Zeeland;Ellemeet;;Lijst;;;01-01-1961;Middenschouwen;
11300;0663;Zeeland;Ellewoutsdijk;"Ellewoudsdijk; Ellewoutsdijk en Everinge";Lijst;;;01-01-1970;Borsele;
11187;0903;Limburg;Elsloo;Elslo;Lijst;;;01-01-1982;Stein (Limburg);
11188;0231;Gelderland;Elst;;Lijst;;;01-01-2001;Overbetuwe;
10161;1055;Gelderland;Elten;;Lijst;23-04-1949;voorheen Duits grondgebied;01-08-1963;Duitsland;Elten was een drostambt, met een functie die vergelijkbaar was met die van een gemeente
10621;1056;Noord-Brabant[2];Emmikhoven;"Emmikhoven c.a.; Emmikhoven en Waardhuizen";Lijst;;;15-07-1879;Almkerk;Viel van 19-09-1814 tot 10-02-1815 onder Zuid-Holland
10295;0773;Noord-Brabant;Empel en Meerwijk;"Empel; Empel c.a.";Lijst;;;01-04-1971;Hertogenbosch, 's 's-Hertogenbosch;
10322;0774;Noord-Brabant;Engelen;;Lijst;01-01-1821;Vlijmen en Engelen;01-04-1971;Hertogenbosch, 's 's-Hertogenbosch;
10385;0775;Noord-Brabant;Erp;;Lijst;;;01-01-1994;Veghel;
10709;0776;Noord-Brabant;Esch;Es;Lijst;;;01-01-1996;Haaren;
10299;1057;Noord-Brabant;Escharen;;Lijst;;;01-07-1942;"Grave; Mill en Sint Hubert";
11092;0234;Gelderland;Est en Opijnen;"Est; Est en Op-IJnen";Lijst;01-01-1818;Opijnen (naamswijziging);01-01-1978;Neerijnen;
11158;1316;Noord-Holland;Etersheim;Etersheim en Zuidschardam;Lijst;01-05-1817;Oosthuizen;01-01-1848;Oosthuizen;
10107;;Gelderland;Etten (Gelderland);;Lijst;01-01-1812;Gendringen (deels);01-01-1818;Gendringen;
10750;1251;Noord-Brabant;Etten en Leur;"Etten (Noord-Brabant); Etten c.a.";Lijst;;;01-01-1968;Etten-Leur (naamswijziging);
10638;0508;Zuid-Holland[2];Everdingen;Everdingen en Zijderveld;Lijst;;;01-01-1986;Vianen;Everdingen lag van 19-09-1814 tot 01-01-1818 deels in Utrecht (gebied Hagestein) en voor het overige in Gelderland. Op 01-01-1821 ging de gemeente over naar Zuid-Holland
10920;;Zeeland;Eversdijk;;Lijst;;;01-01-1816;Kapelle;
10471;0235;Gelderland;Ewijk;;Lijst;;;01-07-1980;Beuningen;
10136;0012;Groningen;Ezinge;;Lijst;;;01-01-1990;Winsum;
11345;;Friesland;Ferwerd;;Lijst;01-01-1812;;01-10-1816;Ferwerderadeel;
11284;0068;Friesland;Ferwerderadeel;;Lijst;01-10-1816;"Blija; Ferwerd; Hallum; Marrum";01-01-1999;Ferwerderadiel (naamswijziging);
11284;1722;Friesland;Ferwerderadiel;;Lijst;01-01-1999;Ferwerderadeel (naamswijziging);01-01-2019;Noardeast-Fryslân;
10206;0778;Noord-Brabant;Fijnaart en Heijningen;"Fijnaard; Fijnaart c.a.; Fijnaart en Heiningen";Lijst;;;01-01-1997;Zevenbergen;
10212;0013;Groningen;Finsterwolde;Finsterwold;Lijst;;;01-01-1990;Beerta;
11114;;Zeeland;Fort Bath;;Lijst;;;01-01-1816;Bath;
11226;0069;Friesland;Franeker;;Lijst;;;01-01-1984;Franekeradeel;
10404;0070;Friesland;Franekeradeel;;Lijst;01-10-1816;"Almenum; Tjum";01-01-2018;Waadhoeke;
;1921;Friesland;De Friese Meren;;Lijst;01-01-2014;"Boarnsterhim (deels); Gaasterlân-Sleat; Lemsterland; Skarsterlân";01-06-2015;De Fryske Marren (naamswijziging);
10036;0071;Friesland;Gaasterland;;Lijst;01-10-1816;Balk (naamswijziging);06-06-1985;Gaasterlân-Sleat (naamswijziging);
10036;0653;Friesland;Gaasterlân-Sleat;Gaasterland Sloten;Lijst;06-06-1985;Gaasterland (naamswijziging);01-01-2014;De Friese Meren;
10037;1058;Gelderland;Gameren;;Lijst;;;01-07-1955;Kerkwijk;
10306;1317;Zeeland;Gapinge;;Lijst;;;02-10-1857;Vrouwenpolder;
10717;;Gelderland;Garderen;;Lijst;01-01-1812;Barneveld (deels);01-01-1818;Barneveld;
10705;1059;Noord-Brabant;Gassel;;Lijst;;;01-08-1942;Beers;
11099;0115;Drenthe;Gasselte;;Lijst;;;01-01-1998;Aa en Hunze;
11448;;Noord-Brabant;Gastel (bij Budel);;Lijst;;;01-01-1821;Soerendonk, Sterksel en Gastel;
10842;0509;Zuid-Holland;Geervliet;;Lijst;;;01-01-1980;Bernisse;
10756;;Gelderland;Geesteren;;Lijst;;;01-01-1818;Borculo;
10370;0780;Noord-Brabant;Geffen;;Lijst;;;01-01-1993;Maasdonk;
10881;0236;Gelderland;Geldermalsen;;Lijst;;;01-01-2019;West Betuwe;
10529;0781;Noord-Brabant;Geldrop;;Lijst;;;01-01-2004;Geldrop-Mierlo;
10048;0906;Limburg;Geleen;;Lijst;;;01-01-2001;Sittard-Geleen;
10277;0782;Noord-Brabant;Gemert;;Lijst;;;01-01-1997;Gemert-Bakel;
10010;1060;Noord-Brabant;Genderen;;Lijst;01-08-1908;Heesbeen, Eethen en Genderen (naamswijziging);01-05-1923;Eethen;
10260;0237;Gelderland;Gendringen;;Lijst;;;01-01-2005;Oude IJsselstreek;
10440;0238;Gelderland;Gendt;Gent;Lijst;;;01-01-2001;Bemmel;
10746;0154;Overijssel;Genemuiden;;Lijst;;;01-01-2001;Zwartewaterland;
11336;1318;Utrecht;Gerverskop;"Gerverscop; Gerverskop en Breudijk";Lijst;01-01-1818;;08-09-1857;Harmelen;
11269;1061;Noord-Brabant;Gestel en Blaarthem;Gestel c.a.;Lijst;;;01-01-1920;Eindhoven;
10530;0908;Limburg;Geulle;Geul;Lijst;;;01-01-1982;Meerssen;
10193;0783;Noord-Brabant[2];Giessen;Giesen;Lijst;;;01-01-1973;Woudrichem;Viel van 19-09-1814 tot 10-02-1815 onder Zuid-Holland
10255;0510;Zuid-Holland;Giessenburg;;Lijst;01-01-1957;"Giessen-Nieuwkerk; Peursum";01-01-1986;Giessenlanden;
10606;1063;Zuid-Holland;Giessendam;"Giesendam; Giessendam en Giessen-Oudkerk";Lijst;;;01-01-1957;Hardinxveld-Giessendam;
10255;0689;Zuid-Holland;Giessenlanden;;Lijst;01-01-1986;"Arkel; Giessenburg; Hoogblokland; Hoornaar; Noordeloos; Schelluinen";01-01-2019;Molenlanden;
10255;1062;Zuid-Holland;Giessen-Nieuwkerk;"Giesen-Nieuwkerk; Giessen-Nieuwkerk en Muizenbroek";Lijst;;;01-01-1957;Giessenburg;
10506;0116;Drenthe;Gieten;;Lijst;;;01-01-1998;Aa en Hunze;
10708;0155;Overijssel;Giethoorn;;Lijst;;;01-01-1973;Brederwiede;
10406;1064;Noord-Brabant;Ginneken en Bavel;"Ginneken; Ginneken c.a.";Lijst;;;01-01-1942;"Breda; Nieuw-Ginneken";
10981;0511;Zuid-Holland;Goedereede;;Lijst;;;01-01-2013;Goeree-Overflakkee;0
10123;1319;Zuid-Holland;Goidschalxoord;"Goidschalkoord; Goidschalksoord";Lijst;01-04-1817;Heinenoord;01-09-1855;Heinenoord;
10076;0156;Overijssel;Goor;;Lijst;;;01-01-2001;Hof van Twente;
10861;;Friesland;Gorredijk;;Lijst;01-01-1812;;01-10-1816;Opsterland;
10085;0239;Gelderland;Gorssel;Gorsel;Lijst;;;01-01-2005;Lochem;
11258;0514;Zuid-Holland;Gouderak;Gouderac;Lijst;;;01-01-1985;Ouderkerk;
10450;0515;Zuid-Holland;Goudriaan;Oud- en Nieuw-Goudriaan;Lijst;;;01-01-1986;Graafstroom;
10914;0516;Zuid-Holland;Goudswaard;Goudswaard of Korendijk;Lijst;01-04-1817;Korendijk (Oud);01-01-1984;Korendijk;
10451;0693;Zuid-Holland;Graafstroom;;Lijst;;;01-01-2013;Molenwaard;
10312;0665;Zeeland[2];Graauw en Langendam;"Graauw; Graauw c.a.; Grauw; Grauw c.a.; Grauw en Langendam";Lijst;;;01-04-1970;Hulst;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10224;1065;Overijssel;Grafhorst;;Lijst;;;01-01-1937;IJsselmuiden;
10484;0389;Noord-Holland;Graft;;Lijst;;;01-08-1970;Graft-De Rijp;
11417;0365;Noord-Holland;Graft-De Rijp;;Lijst;01-08-1970;"Graft; De Rijp";01-01-2015;Alkmaar;
11339;0157;Overijssel;Gramsbergen;;Lijst;;;01-01-2001;Hardenberg;
11008;0909;Limburg;Grathem;"Graatem; Gratem";Lijst;;;01-01-1991;Heythuysen;
10534;0390;Noord-Holland;Graveland (Noord-Holland), 's 's-Graveland (Noord-Holland);'s-Gravenland;Lijst;;;01-01-2002;Wijdemeren;
10935;1320;Zuid-Holland;Gravenambacht, 's 's-Gravenambacht;"'s-Gravenambacht, Heijde en Boudewijns Hartsland; 's-Gravenambacht, Heijde en Boudewijns Horsland";Lijst;01-04-1817;Pernis;01-01-1832;Pernis;
10052;0517;Zuid-Holland;Gravendeel, 's 's-Gravendeel;'s-Gravendeel en Leer-Ambacht;Lijst;;;01-01-2007;Binnenmaas;
11420;;Zeeland;Gravenhoek, 's 's-Gravenhoek;;Lijst;;;01-01-1816;Wissenkerke (Noord-Beveland);
10469;0787;Noord-Brabant;Gravenmoer, 's 's Gravenmoer;'s-Gravemoer, 's-Gravenmoer;Lijst;;;01-01-1997;Dongen;
11059;0666;Zeeland;Gravenpolder, 's 's-Gravenpolder;"'s-Gravenpolder, Heerjanspolder, Oost- en Middelzwake; 's-Gravenpolder, Sintjanspolder, Oost- en Middelzwake";Lijst;;;01-01-1970;Borsele;
10640;0519;Zuid-Holland;Gravenzande, 's 's-Gravenzande;"'s-Gravesande; 's-Gravezande; 's-Gravezande en Zandambacht";Lijst;;;01-01-2004;Westland;
10882;1321;Utrecht;Gravesloot, 's 's-Gravesloot;'s-Gravensloot;Lijst;01-01-1818;Kamerik (Oud);08-09-1857;Kamerik;
10624;0910;Limburg;Grevenbicht;Grevenbecht;Lijst;;;01-01-1982;Born;
10244;0016;Groningen;Grijpskerk;;Lijst;;;01-01-1990;Zuidhorn;
10801;1067 (668);Zeeland;Grijpskerke;"Grijpskerke c.a.; Grijpskerke, Poppendamme, Buttinge, Zandvoort en Hoogelande";Lijst;01-01-1816;"Buttinge en Zandvoort; Grijpskerke en Poppendamme; Hoogelande";01-07-1966;Mariekerke;
10801;;Zeeland;Grijpskerke en Poppendamme;;Lijst;;;01-01-1816;Grijpskerke;
11312;0667;Zeeland[2];Groede;;Lijst;;;01-04-1970;Oostburg;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10764;1322;Zuid-Holland;Groeneveld;;Lijst;01-04-1817;Woud, 't 't Woud;01-09-1855;Hof van Delft;
11094;0240;Gelderland;Groenlo;"Groenlo-Lichtenvoorde; Groenloo";Lijst;;;19-05-2006;Oost Gelre (naamswijziging);De naam Oost Gelre werd administratief al vanaf 01-01-2006 gebruikt
10616;0241;Gelderland;Groesbeek;;Lijst;;;01-01-2016;Berg en Dal (naamswijziging);
10200;1323;Noord-Holland;Groet;;Lijst;01-05-1817;Schoorl;01-01-1834;Schoorl;
10323;0911;Limburg;Gronsveld;"Grondsveld; Gronsfeld";Lijst;;;01-01-1982;Eijsden;
11205;0520;Zuid-Holland;Groot-Ammers;"Grootammers; Groot-Ammers, 's-Graveland, Achterland en Peulwijk";Lijst;01-04-1817;Nieuwpoort;01-01-1986;Liesveld;
11042;1066;Zuid-Holland;Groote Lindt;Groote Lindt en Dortmond;Lijst;01-04-1817;Zwijndrecht;06-09-1881;Zwijndrecht;
11337;0391;Noord-Holland;Grootebroek;"Grootebroek en Lutjebroek; Grotebroek";Lijst;;;01-01-1979;Stede Broec;
11080;0015;Groningen;Grootegast;;Lijst;;;01-01-2019;Westerkwartier;
11271;1324;Noord-Holland;Grosthuizen;;Lijst;01-05-1817;Avenhorn;31-05-1854;Avenhorn;
11409;;Friesland;Grouw;;Lijst;01-01-1812;;01-10-1816;Idaarderadeel;
10176;0912;Limburg;Grubbenvorst;Grubbevorst;Lijst;;;01-01-2001;Horst aan de Maas;
11032;0913;Limburg;Gulpen;;Lijst;;;01-01-1999;Gulpen-Wittem;
10125;0242;Gelderland;Haaften;;Lijst;01-01-1818;Herwijnen;01-01-1978;Neerijnen;
10762;;Noord-Brabant;Haage;;Lijst;;;08-05-1819;Princenhage (naamswijziging);
10701;1068;Zeeland;Haamstede;;Lijst;;;01-01-1961;Westerschouwen;
10041;1325;Noord-Holland;Haarlemmerliede;Haarlemmerliede, Noordschalkwijk en Hofambacht;Lijst;01-05-1817;Spaarnwoude;08-09-1857;Haarlemmerliede en Spaarnwoude;
10508;0393;Noord-Holland;Haarlemmerliede en Spaarnwoude;Haarlemmerliede c.a.;Lijst;08-09-1857;"Haarlemmerliede; Spaarnwoude";01-01-2019;Haarlemmermeer;
10737;1069;Utrecht;Haarzuilens;"De Haar Zuilens; De Haarzuilens";Lijst;01-01-1818;Vleuten;01-01-1954;Vleuten-De Meern;
11049;0521;Zuid-Holland;Haastrecht;Haastrecht en Vliet;Lijst;;;01-01-1985;Vlist;
10321;0914;Limburg;Haelen;Halen;Lijst;;;01-01-2007;Leudal;
10297;0522;Zuid-Holland[2];Hagestein;;Lijst;01-01-1818;Everdingen;01-01-1986;Vianen;Viel tot 01-01-1821 onder Utrecht
11284;;Friesland;Hallum;;Lijst;01-01-1812;;01-10-1816;Ferwerderadeel;
10387;0789;Noord-Brabant;Halsteren;;Lijst;;;01-01-1997;Bergen op Zoom;
10395;0159;Overijssel;Ham, Den Den Ham;;Lijst;;;01-01-2001;Vriezenveen;
11283;0790;Noord-Brabant;Haps;;Lijst;;;01-01-1994;Cuijk;
11403;;Friesland;Hardegarijp;;Lijst;01-01-1812;;01-10-1816;Tietjerksteradeel;
10174;;Overijssel;Hardenberg (Oud);;Lijst;;;01-07-1818;"Ambt Hardenberg; Stad Hardenberg";
10167;1070;Zuid-Holland;Hardinxveld;Hardingsveld;Lijst;;;01-01-1957;Hardinxveld-Giessendam;
11058;0017;Groningen;Haren;;Lijst;;;01-01-2019;Groningen;
10044;;Noord-Brabant;Haren en Macharen;;Lijst;;;02-02-1821;Megen, Haren en Macharen;
10963;0395;Noord-Holland;Harenkarspel;;Lijst;;;01-01-2013;Schagen;
10249;;Groningen;Harkstede;;Lijst;;;01-08-1821;Slochteren;
10183;0318;Utrecht[2];Harmelen;;Lijst;;;01-01-2001;Woerden;Viel van 19-09-1814 tot 01-04-1817 onder twee provincies (gebieden Teckop en Indijk waren deel van Zuid-Holland)
10687;;Friesland;Haske;;Lijst;01-01-1812;;01-10-1816;Haskerland;
10022;0073;Friesland;Haskerland;;Lijst;01-10-1816;"Haske; Joure";01-01-1984;Scharsterland;
10115;0161;Overijssel;Hasselt;;Lijst;;;01-01-2001;Zwartewaterland;
10186;0117;Drenthe;Havelte;;Lijst;;;01-01-1998;Westerveld;
11257;0524;Zuid-Holland;Hazerswoude;;Lijst;;;01-01-1991;Rijneveld;
10982;0245;Gelderland;Hedel;;Lijst;;;01-01-1999;Maasdriel;
11130;1071;Noord-Brabant;Hedikhuizen;;Lijst;;;01-05-1935;"Heusden; Vlijmen";
10975;;Friesland;Heeg;;Lijst;01-01-1812;;01-10-1816;Wymbritseradeel;
11208;;Limburg;Heel (Oud);;Lijst;;;01-01-1821;Heel en Panheel;
11208;1937;Limburg;Heel;;Lijst;01-01-1991;"Beegden; Heel en Panheel; Wessem";01-01-2007;Maasgouw;
11208;0915;Limburg;Heel en Panheel;Heel;Lijst;01-01-1821;"Heel (Oud); Pol en Panheel";01-01-1991;Heel;
10823;0525;Zuid-Holland;Heenvliet;Heenvliet en Koolwijkspolder;Lijst;;;01-01-1980;Bernisse;
11407;0916;Limburg;Heer;;Lijst;05-08-1828;Heer en Keer;01-07-1970;Maastricht;
10337;0669;Zeeland;Heer Abtskerke, 's 's-Heer Abtskerke;"'s-Heer Abtskerke c.a.; 's-Heer Abtskerke, Sinoutskerke en Baarsdorp; 's-Heerabtskerke; 's-Heer-Abtskerke";Lijst;;;01-01-1970;Borsele;
10875;0670;Zeeland;Heer Arendskerke, 's 's-Heer Arendskerke;"'s-Heerarendskerke; 's-Heer-Arendskerke";Lijst;;;01-01-1970;"Borsele; Goes";
11407;;Limburg;Heer en Keer;;Lijst;;;05-08-1828;"Heer; Cadier en Keer";
10117;1326;Zeeland;Heer Hendrikskinderen, 's 's-Heer Hendrikskinderen;"'s-Heer Hendrikskinderen en Wissekerke; 's-Heerhendrikskinderen";Lijst;;;02-10-1857;Heer Arendskerke, 's 's-Heer Arendskerke;
11207;1327;Zuid-Holland;Heer Oudelands Ambacht;Heer Oudeland Ambacht;Lijst;01-04-1817;Rijsoort;19-08-1857;Groote Lindt;
10350;;Gelderland;Heerenberg, 's 's-Heerenberg;;Lijst;;;01-01-1821;Bergh;
10721;0671;Zeeland;Heerenhoek, 's 's-Heerenhoek;'s-Herenhoek;Lijst;;;01-01-1970;Borsele;
10680;;Friesland;Heerenveen (Oud);;Lijst;01-01-1812;;01-10-1816;Schoterland;
10067;;Gelderland;Heerewaarden (Oud);;Lijst;;;01-01-1818;Rossum;
10067;0247;Gelderland;Heerewaarden;"Heerenwaarden; Herwarden";Lijst;01-01-1821;Rossum;01-01-1999;Maasdriel;
10540;0526;Zuid-Holland;Heerjansdam;Heer Jansdam;Lijst;;;01-01-2003;Zwijndrecht;
10010;1255;Noord-Brabant;Heesbeen, Eethen en Genderen;Heesbeen c.a.;Lijst;08-05-1819;Eethen, Genderen en Heesbeen (naamswijziging);01-08-1908;Genderen (naamswijziging);
10149;0791;Noord-Brabant;Heesch;Hees;Lijst;;;28-01-1995;Bernheze (naamswijziging);
11229;1072 (792);Noord-Brabant;Heeswijk;Heeschwijk;Lijst;;;01-01-1969;Heeswijk-Dinther;
10690;0792;Noord-Brabant;Heeswijk-Dinther;;Lijst;01-01-1969;"Dinther; Heeswijk";01-01-1994;Heesch;
10462;0793;Noord-Brabant;Heeze;Heze;Lijst;;;01-01-1997;Heeze-Leende;
10246;0019;Groningen;Hefshuizen;;Lijst;01-01-1979;"Uithuizen; Uithuizermeeden;";01-01-1992;Eemsmond (naamswijziging);
11024;0527;Zuid-Holland;Hei- en Boeicop;"Hei en Boeicop; Hei en Boeikop; Hei- en Boeikop; Heikop; Heikop en Boeikop";Lijst;01-04-1817;Schoonrewoerd;01-01-1986;Zederik;
11309;1073;Zeeland[2];Heille;;Lijst;;;31-07-1880;Sluis (Oud);Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10821;0528;Zuid-Holland;Heinenoord;;Lijst;;;01-01-1984;Binnenmaas;
10413;0672;Zeeland;Heinkenszand;Heinekenszande;Lijst;;;01-01-1970;Borsele;
10854;0162;Overijssel;Heino;Heinoo;Lijst;;;01-01-2001;Raalte;
10873;1074 (529);Zuid-Holland;Hekelingen;Hekelingen en Vriesland;Lijst;01-04-1817;Spijkenisse;01-05-1966;Spijkenisse;
10217;1075;Zuid-Holland;Hekendorp;;Lijst;01-04-1817;Waarder;01-02-1964;Driebruggen;
10205;0918;Limburg;Helden;;Lijst;;;01-01-2010;Peel en Maas;
10389;0795;Noord-Brabant;Helvoirt;Helvoort;Lijst;;;01-01-1996;Haaren;
10334;0075;Friesland;Hemelumer Oldeferd;;Lijst;01-01-1956;Hemelumer Oldephaert en Noordwolde (naamswijziging);01-01-1984;Nijefurd;
