A'damse code[1];CBS-code;Provincie;Gemeente;Alternatieve namen;Burgemeesters;Bestaan vanaf;Ontstaan uit;Bestaan tot;Opgegaan in;Opmerkingen
11372;0306;Utrecht;Amerongen;;Lijst;;;01-01-2006;Utrechtse Heuvelrug;
10863;0486;Zuid-Holland;Ammerstol;;Lijst;01-04-1817;Bergambacht;01-01-1985;Bergambacht;
10151;0198;Gelderland;Ammerzoden;"Amerzoden; Ammersooi; Ammersooien; Well en Ammerzoden";Lijst;;;01-01-1999;Maasdriel;
10062;0884;Limburg;Amstenrade;;Lijst;;;01-01-1982;Schinnen;
10871;0742;Noord-Brabant[2];Andel;"Andel c.a.; Op- en Neer-Andel";Lijst;;;01-01-1973;Woudrichem;Viel van 19-09-1814 tot 10-02-1815 onder de provincie Zuid-Holland
10822;0364;Noord-Holland;Andijk;;Lijst;;;01-01-2011;Medemblik;
11131;0199;Gelderland;Angerlo;Angerloo;Lijst;;;01-01-2005;Zevenaar;
10158;;Friesland;Anjum;;Lijst;01-01-1812;;01-10-1816;Oostdongeradeel;
10936;1014 (365);Noord-Holland[2];Ankeveen;;Lijst;01-01-1818;Nederhorst den Berg;01-08-1966;Graveland (Noord-Holland), 's 's-Graveland (Noord-Holland);Viel tot 01-10-1819 onder de provincie Utrecht
10787;0105;Drenthe;Anloo;Anlo;Lijst;;;01-01-1998;Aa en Hunze;
10344;0366;Noord-Holland;Anna Paulowna;Anna-Paulowna;Lijst;01-08-1870;Zijpe;01-01-2012;Hollands Kroon;
11296;0201;Gelderland;Appeltern;Altforst en Appeltern;Lijst;;;01-01-1984;Wamel;
10202;0885;Limburg;Arcen en Velden;"Arcen c.a.; Arsen";Lijst;01-01-1816;Velden (naamswijziging);01-01-2010;Venlo;
10079;0487;Zuid-Holland;Arkel;Arkel en Rietveld;Lijst;01-04-1817;Kedichem;01-01-1986;Giessenlanden;
11419;0649;Zeeland;Arnemuiden;"Arnemuiden c.a.; Arnemuiden met Nieuwerkerk en Mortière";Lijst;;;01-01-1997;Middelburg (Zeeland);
11440;;Friesland;Arum;;Lijst;01-01-1812;;01-10-1816;Wonseradeel;
11369;0488;Zuid-Holland;Asperen;;Lijst;;;01-01-1986;Vuren;
11373;0367;Noord-Holland;Assendelft;;Lijst;;;01-01-1974;Zaanstad;
11060;;Friesland;Augustinusga;;Lijst;01-01-1812;;01-10-1816;Achtkarspelen;
11147;0368;Noord-Holland;Avenhorn;Avenhorn en Oostmijzen;Lijst;;;01-01-1979;Wester-Koggenland;
11190;0143;Overijssel;Avereest;Averreest;Lijst;01-07-1818;Ommen (Oud);01-01-2001;Hardenberg;
11289;0650;Zeeland[2];Axel;Aksel;Lijst;;;01-01-2003;Terneuzen;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder de provincie Brabant
11184;;Utrecht[2];Baambrugge;;Lijst;;;01-01-1818;Abcoude-Baambrugge (naamswijziging);Viel tot 19-09-1814 onder Noord-Holland
10422;0061;Friesland;Baarderadeel;;Lijst;01-10-1816;"Bozum; Jorwerd";01-01-1984;Littenseradeel;
10006;1015;Noord-Brabant;Baardwijk;;Lijst;;;01-01-1922;Waalwijk;
10634;0651;Zeeland;Baarland;"Baarland c.a.; Baarland en Bakendorp";Lijst;;;01-01-1970;Borsele;
11255;0886;Limburg;Baexem;"Baaksem; Baaxem";Lijst;;;01-01-1991;Heythuysen;
10539;0004;Groningen;Baflo;Bafloo;Lijst;;;01-01-1990;Winsum;
10749;;Noord-Brabant;Bakel;;Lijst;;;08-05-1819;Bakel en Milheeze (naamswijziging);
10749;0745;Noord-Brabant;Bakel en Milheeze;"Bakel; Bakel c.a.";Lijst;08-05-1819;Bakel (naamswijziging);01-01-1997;Gemert-Bakel;
10849;1016;Gelderland;Balgoij;"Balgoij en Keent; Balgooi; Balgoy";Lijst;;;01-05-1923;Overasselt;
10036;;Friesland;Balk;;Lijst;;;01-10-1816;Gaasterland (naamswijziging);
10642;1246;Noord-Holland;Bangert;;Lijst;01-01-1979;"Hoogkarspel; Westwoud";01-01-1980;Drechterland (naamswijziging);
10943;;Zuid-Holland;Barendrecht (Oud);;Lijst;;;01-04-1817;"Oost-Barendrecht; West-Barendrecht";
10156;0062;Friesland;Barradeel;;Lijst;01-10-1816;"Almenum (deels); Minnertsga; Sexbierum";01-01-1984;Franekeradeel;
10973;0369;Noord-Holland;Barsingerhorn;"Barsingerhorn en Haringhuizen; Barsingerhorn, Kolhorn en Haringhuizen; Barsingerhorn, Colhorn en Haringhuizen";Lijst;;;01-01-1990;"Niedorp; Anna Paulowna";
10447;1017;Zuid-Holland;Barwoutswaarder;"Barwoudswaarder c.a.; Barwoutswaarder en Bekenes";Lijst;01-04-1817;Waarder;01-02-1964;Woerden;
10921;0204;Gelderland;Batenburg;;Lijst;;;01-01-1984;Wijchen;
10623;1018;Zeeland;Bath;Fort Bath en Bath;Lijst;01-01-1816;"Fort Bath; Rilland en Bath (deels)";01-01-1878;Rilland-Bath;
11030;0144;Overijssel;Bathmen;Batmen;Lijst;;;01-01-2005;Deventer;
10425;0005;Groningen;Bedum;;Lijst;;;01-01-2019;Het Hogeland;
11089;0887;Limburg;Beegden;;Lijst;;;01-01-1991;Heel;
10408;;Gelderland;Beek (Berg en Dal);Beek (Gelderland), Beek (Ubbergen), Beek (Groesbeek);Lijst;;;01-01-1818;Ubbergen;
11354;1247;Noord-Brabant;Beek (Noord-Brabant);;Lijst;01-01-1942;Princenhage (deels);01-01-1951;Prinsenbeek (naamswijziging);
10173;0746;Noord-Brabant;Beek en Donk;Beek [bij Helmond];Lijst;;;01-01-1997;Laarbeek;
11390;;Gelderland;Beekbergen;;Lijst;01-01-1812;Apeldoorn (deels);01-01-1818;Apeldoorn;
11410;0747;Noord-Brabant;Beers;;Lijst;;;01-01-1994;Cuijk;
11043;0006;Groningen;Beerta;;Lijst;;;01-07-1991;Reiderland (naamswijziging);
10259;0205;Gelderland[2];Beesd;Beest;Lijst;;;01-01-1978;Geldermalsen;Viel tot 19-09-1814 onder Zuid-Holland
10536;0371;Noord-Holland;Beets;;Lijst;;;01-08-1970;Zeevang;
10987;;Friesland;Beetsterzwaag;;Lijst;01-01-1812;;01-10-1816;Opsterland;
10520;0107;Drenthe;Beilen;;Lijst;;;01-01-1998;Middenveld;
10292;0890;Limburg;Belfeld;Belveld;Lijst;;;01-01-2001;Venlo;
10340;0007;Groningen;Bellingwedde;;Lijst;01-09-1968;"Bellingwolde; Wedde";01-01-2018;Westerwolde;
10340;1019 (007);Groningen;Bellingwolde;Bellingewolde;Lijst;;;01-09-1968;Bellingwedde;
10251;;Gelderland;Beltrum;;Lijst;;;13-04-1819;Eibergen;
10878;0891;Limburg;Bemelen;;Lijst;;;01-01-1982;Margraten;
10744;0206;Gelderland;Bemmel;;Lijst;;;01-01-2003;Lingewaard (naamswijziging);
10734;0372;Noord-Holland;Bennebroek;;Lijst;01-05-1817;Heemstede;01-01-2009;Bloemendaal;
11179;;Gelderland;Bennekom;;Lijst;01-01-1812;Ede (deels);01-01-1818;Ede;
11330;0309;Utrecht;Benschop;Benskoop;Lijst;;;01-01-1989;Lopik;
11267;1305;Zuid-Holland;Benthorn;;Lijst;01-04-1817;Hazerswoude;01-01-1846;Benthuizen;
10398;0490;Zuid-Holland;Benthuizen;Benthuizen en Benthorn;Lijst;01-04-1817;Hazerswoude;01-01-1991;Rijneveld;
10796;0892;Limburg;Berg en Terblijt;Berg (Limburg);Lijst;;;01-01-1982;Valkenburg aan de Geul;
10962;0491;Zuid-Holland;Bergambacht;'s Heeraartsberg en Bergambacht;Lijst;;;01-01-2015;Krimpenerwaard;
11160;0749;Noord-Brabant;Bergeyk;"Bergeijk; Bergeik";Lijst;;;25-09-1998;Bergeijk (naamswijziging);
10350;0207;Gelderland;Bergh;Berg (Gelderland);Lijst;01-01-1821;"Heerenberg, 's 's-Heerenberg; Netterden; Zeddam";01-01-2005;Montferland;
10883;0208;Gelderland;Bergharen;Burgharen;Lijst;;;01-01-1984;Wijchen;
10733;0750;Noord-Brabant;Berghem;Berchem;Lijst;;;01-01-1994;Oss;
10445;0492;Zuid-Holland;Bergschenhoek;Bergsenhoek;Lijst;;;01-01-2007;Lansingerland;
11241;;Friesland;Bergum;;Lijst;01-01-1812;;01-10-1816;Tietjerksteradeel;
10139;0493;Zuid-Holland;Berkel en Rodenrijs;Berkel (Zuid-Holland);Lijst;;;01-01-2007;Lansingerland;
11132;0751;Noord-Brabant;Berkel-Enschot;"Berkel (Noord-Brabant); Berkel c.a.; Berkel, Enschot en Heukelum; Berkel, Enschot en Heukelom";Lijst;;;01-01-1997;Tilburg;
10223;1306;Noord-Holland;Berkenrode;;Lijst;01-05-1817;Heemstede;08-09-1857;Heemstede;
10797;0494;Zuid-Holland;Berkenwoude;"Berkenwoude en Achterbroek; Berkoude of Berkenwoude en Achterbroek";Lijst;;;01-01-1985;Bergambacht;
10354;0374;Noord-Holland;Berkhout;Berkhout en Baarsdorp;Lijst;;;01-01-1979;Wester-Koggenland;
10362;0752;Noord-Brabant;Berlicum;"Berlicum c.a.; Berlicum en Middelrode; Berlikum";Lijst;;;01-01-1996;Sint-Michielsgestel;
11117;;Friesland;Berlikum;;Lijst;01-01-1812;;01-10-1816;Menaldumadeel;
10316;0568;Zuid-Holland;Bernisse;;Lijst;01-01-1980;"Abbenbroek; Geervliet (deels); Heenvliet; Oudenhoorn; Zuidland";01-01-2015;Nissewaard;
10056;1020;Noord-Brabant;Besoijen;Bezooien;Lijst;;;01-01-1922;Waalwijk;
10252;1021;Noord-Brabant;Beugen en Rijkevoort;"Beugen; Beugen c.a.";Lijst;;;01-05-1942;"Boxmeer; Wanroij";
11182;0210;Gelderland;Beusichem;"Beuzekom; Beuzichem";Lijst;;;01-01-1978;Buren;
10686;1307;Zuid-Holland;Biert;Biert en Stompert;Lijst;01-04-1817;Geervliet;01-09-1855;Geervliet;
11294;0008;Groningen;Bierum;;Lijst;;;01-01-1990;Delfzijl;
10257;0652;Zeeland[2];Biervliet;;Lijst;;;01-04-1970;Terneuzen;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10074;1308;Zuid-Holland;Biesland;;Lijst;01-04-1817;Pijnacker;01-01-1833;Vrijenban;
11364;1022 (653);Zeeland;Biggekerke;"Biggekerke en Krommenhoeke; Biggenkerke";Lijst;;;01-07-1966;Valkenisse (Walcheren);
11272;1309;Noord-Holland;Bijlmermeer;;Lijst;01-05-1817;Weesp;01-01-1848;Weesperkarspel;
10128;0063;Friesland;Het Bildt;;Lijst;01-10-1816;"Sint Annaparochie; Sint Jacobiparochie; Vrouwenparochie";01-01-2018;Waadhoeke;
10967;0894;Limburg;Bingelrade;;Lijst;;;01-01-1982;Onderbanken;
10222;0585;Zuid-Holland;Binnenmaas;;Lijst;01-01-1984;"Heinenoord; Maasdam; Mijnsheerenland; Puttershoek; Westmaas";01-01-2019;Hoeksche Waard;
11006;0754;Noord-Brabant;Bladel en Netersel;"Bladel; Bladel c.a.";Lijst;;;01-01-1997;Bladel;
10320;0145;Overijssel;Blankenham;;Lijst;01-07-1818;Kuinre;01-01-1973;IJsselham;
10994;0495;Zuid-Holland;Bleiswijk;"Bleiswyk; Blijswijk";Lijst;;;01-01-2007;Lansingerland;
10451;1262;Zuid-Holland;Bleskensgraaf;;Lijst;;;01-09-1855;Bleskensgraaf en Hofwegen;
10451;0496;Zuid-Holland;Bleskensgraaf en Hofwegen;Bleskensgraaf c.a.;Lijst;01-09-1855;"Bleskensgraaf; Hofwegen";01-01-1986;Graafstroom;
10226;;Friesland;Blija;;Lijst;01-01-1812;;01-10-1816;Ferwerderadeel;
10804;0378;Noord-Holland;Blokker;Ooster- en Westerblokker;Lijst;;;01-01-1979;Hoorn;
10689;0146;Overijssel;Blokzijl;;Lijst;;;01-01-1973;Brederwiede;
10815;0055;Friesland;Boarnsterhim;;Lijst;03-01-1984;Boornsterhem (naamswijziging);01-01-2014;Leeuwarden, Heerenveen, Súdwest-Fryslân, De Friese Meren;
10986;0895;Limburg;Bocholtz;"Bocholts; Bocholz; Boekholtz";Lijst;;;01-01-1982;Simpelveld;
11091;0497;Zuid-Holland;Bodegraven;Bodegrave;Lijst;;;01-01-2011;Bodegraven-Reeuwijk;
11083;1023;Noord-Brabant;Bokhoven;;Lijst;;;01-01-1922;Engelen;
10865;0064;Friesland;Bolsward;;Lijst;;;01-01-2011;Súdwest-Fryslân;
10293;1024 (498);Zuid-Holland;Bommel, Den Den Bommel;;Lijst;;;01-01-1966;Oostflakkee;
10785;1025;Zeeland;Bommenede;"Bommenede en Blois; Bommenede en Blooijs";Lijst;;;04-04-1866;Zonnemaire;
10815;0057;Friesland;Boornsterhem;;Lijst;01-01-1984;"Idaarderadeel; Rauwerderhem; Utingeradeel";03-01-1985;Boarnsterhim (naamswijziging);
11307;0211;Gelderland;Borculo;"Borkelo; Borkeloo; Borkulo";Lijst;;;01-01-2005;Berkelland;
10448;0108;Drenthe;Borger;;Lijst;;;01-01-1998;Borger-Odoorn;
11334;0896;Limburg;Borgharen;;Lijst;;;01-07-1970;Maastricht;
11013;1026;Noord-Brabant;Borkel en Schaft;"Borkel; Borkel c.a.";Lijst;;;01-05-1934;Valkenswaard;
10927;0897;Limburg;Born;;Lijst;;;01-01-2001;Sittard-Geleen;
10043;1254;Zeeland;Borssele;"Borsele; Borselen; Borsselen";Lijst;;;01-01-1970;Borsele;
10605;1027;Zeeland[2];Boschkapelle;"Bosch Capelle; Boschkappelle";Lijst;;;01-07-1936;Vogelwaarde;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10419;0499;Zuid-Holland;Boskoop;;Lijst;;;01-01-2014;Alphen aan den Rijn;
10332;;Groningen;Bourtange;Boertange;Lijst;;;01-01-1822;Vlagtwedde;
10945;0379;Noord-Holland;Bovenkarspel;Bovencarspel;Lijst;;;01-01-1979;Stede Broec;
10422;;Friesland;Bozum;;Lijst;01-01-1812;;01-10-1816;Baarderadeel;
11125;0212;Gelderland;Brakel;;Lijst;;;01-01-1999;Zaltbommel;
10169;0500;Zuid-Holland;Brandwijk;Brandwijk en Gijbeland;Lijst;01-04-1817;Molenaarsgraaf;01-01-1986;Graafstroom;
11088;0194;Overijssel;Brederwiede;;Lijst;01-01-1973;"Blokzijl; Giethoorn; Vollenhove; Wanneperveen";01-01-2001;Steenwijk;
11295;;Gelderland;Bredevoort;Breedevoort;Lijst;;;01-01-1818;Aalten;
11352;;Limburg;Bree;;Lijst;;;14-02-1818;Maasbree (naamswijziging);
10233;0655;Zeeland[2];Breskens;;Lijst;;;01-04-1970;Oostburg;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10807;;Utrecht;Breukelen (Oud);;Lijst;;;01-01-1818;"Breukelen-Nijenrode; Breukelen-Sint Pieters; Laag-Nieuwkoop; Portengen; Ruwiel";
10807;0311;Utrecht;Breukelen;;Lijst;01-01-1949;Breukelen-Nijenrode, Breukelen-Sint Pieters;01-01-2011;Stichtse Vecht;
10807;1028;Utrecht;Breukelen-Nijenrode;"Breukelen Nijenrode; Breukelen Nijrode";Lijst;01-01-1818;;01-01-1949;Breukelen;
11149;1029;Utrecht;Breukelen-Sint Pieters;"Breukelen St. Pieter; Breukelen St. Pieters; Breukelen-Sint-Pieters";Lijst;01-01-1818;"Breukelen (deels); Tienhoven (Utrecht) (deels)";01-01-1949;Breukelen;
10288;;Limburg;Breust;;Lijst;;;06-03-1828;"Eijsden; Sint Geertruid";
10727;;Zeeland;Brigdamme;;Lijst;;;01-01-1816;Sint Laurens;
10678;;Zeeland;Brijdorpe;;Lijst;;;01-01-1813;Duivendijke;
11214;1030;Zuid-Holland;Broek, Thuil en 't Weegje;"Broek c.a.; Broek, Bloemendaal, Broekhuizen, Tuil en 't Weegje; Broek, Thuil en het Weegje, Bloemendaal, Broekhuizen";Lijst;01-04-1817;Gouda;01-07-1870;Waddinxveen;
10289;0380;Noord-Holland;Broek in Waterland;"Broek in Waterland, Zuiderwoude en Uitdam; Broek-in-Waterland";Lijst;;;01-01-1991;Waterland;
10955;1031;Noord-Holland;Broek op Langendijk;Broek-op-Langendijk;Lijst;;;01-08-1941;Langedijk;
10856;0898;Limburg;Broekhuizen;"Broekhuijsen; Broekhuysen";Lijst;;;01-01-2001;Horst aan de Maas;
10655;1032;Limburg;Broeksittard;Broek Sittard;Lijst;22-03-1817;Sittard;01-10-1942;Sittard;
10030;0656;Zeeland;Brouwershaven;;Lijst;;;01-01-1997;Schouwen-Duiveland;
10791;;Gelderland;Bruchem;;Lijst;;;01-01-1818;Kerkwijk (naamswijziging);
11291;0657;Zeeland;Bruinisse;;Lijst;;;01-01-1997;Schouwen-Duiveland;
10219;0759;Noord-Brabant;Budel;;Lijst;;;28-01-1998;Cranendonck (naamswijziging);De gewijzigde naam werd administratief al vanaf 28-01-1997 gebruikt, maar werd officieel van kracht op 28-01-1998
10857;1033;Limburg;Buggenum;;Lijst;;;01-10-1942;Haelen;
